,condition
0,1
1,0
2,1
3,0
4,0
5,0
6,0
7,1
8,1
9,1
10,0
11,1
12,1
13,0
14,0
15,0
16,1
17,0
18,1
19,1
20,1
21,1
22,1
23,0
24,1
25,1
26,0
27,0
28,0
29,0
30,0
31,1
32,1
33,1
34,1
35,0
36,0
37,1
38,1
39,1
40,0
41,0
42,1
43,1
44,0
45,0
46,0
47,1
48,1
49,1
50,0
51,1
52,1
53,0
54,1
55,0
56,1
57,1
58,1
59,0
60,0
61,1
62,0
63,0
64,0
65,1
66,1
67,1
68,1
69,1
70,0
71,0
72,1
73,0
74,1
75,1
76,0
77,0
78,1
79,1
80,0
81,1
82,1
83,1
84,1
85,0
86,1
87,0
88,1
89,1
90,1
91,1
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,0
100,1
101,0
102,1
103,1
104,1
105,1
106,1
107,0
108,0
109,0
110,0
111,1
112,0
113,1
114,0
115,0
116,1
117,1
118,1
119,1
120,0
121,1
122,1
123,1
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,1
132,0
133,1
134,0
135,0
136,1
137,1
138,1
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,1
148,1
149,1
150,0
151,1
152,1
153,1
154,0
155,0
156,1
157,1
158,0
159,1
160,0
161,1
162,1
163,0
164,1
165,0
166,0
167,0
168,0
169,1
170,1
171,0
172,0
173,0
174,0
175,1
176,1
177,0
178,0
179,1
180,0
181,1
182,0
183,1
184,1
185,1
186,0
187,0
188,1
189,0
190,1
191,1
192,0
193,0
194,0
195,1
196,1
197,1
198,1
199,0
200,1
201,1
202,0
203,0
204,0
205,1
206,0
207,0
208,1
209,0
210,0
211,1
212,1
213,0
214,1
215,1
216,0
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,0
225,1
226,0
227,0
228,1
229,1
230,0
231,1
232,0
233,1
234,1
235,1
236,0
237,0
238,0
239,0
240,0
241,1
242,0
243,1
244,1
245,1
246,1
247,0
248,0
249,1
250,0
251,1
252,0
253,0
254,0
255,1
256,0
257,1
258,1
259,0
260,0
261,1
262,0
263,0
264,1
265,1
266,1
267,0
268,1
269,0
270,0
271,1
272,0
273,1
274,0
275,1
276,0
277,1
278,0
279,0
280,1
281,1
282,1
283,1
284,0
285,1
286,1
287,0
288,1
289,1
290,0
291,0
292,0
293,1
294,1
295,0
296,0
297,0
298,0
299,0
300,1
301,0
302,0
303,0
304,0
305,1
306,1
307,0
308,1
309,0
310,1
311,1
312,0
313,0
314,0
315,1
316,1
317,0
318,1
319,0
320,0
321,1
322,0
323,1
324,0
325,0
326,1
327,1
328,0
329,1
330,0
331,0
332,0
333,1
334,1
335,0
336,1
337,1
338,0
339,1
340,1
341,0
342,0
343,1
344,0
345,0
346,0
347,1
348,0
349,0
350,0
351,0
352,1
353,1
354,0
355,1
356,0
357,0
358,1
359,1
360,0
361,0
362,1
363,1
364,0
365,0
366,1
367,0
368,1
369,0
370,0
371,1
372,1
373,0
374,0
375,0
376,0
377,0
378,0
379,1
380,1
381,0
382,0
383,0
384,0
385,1
386,1
387,0
388,1
389,0
390,1
391,0
392,1
393,1
394,1
395,1
396,0
397,0
398,1
399,1
400,0
401,0
402,1
403,0
404,1
405,1
406,0
407,1
408,0
409,1
410,1
411,1
412,0
413,1
414,1
415,1
416,1
417,0
418,0
419,0
420,0
421,1
422,1
423,0
424,1
425,0
426,0
427,1
428,0
429,1
430,1
431,1
432,1
433,0
434,0
435,1
436,0
437,1
438,0
439,0
440,0
441,0
442,0
443,1
444,1
445,1
446,1
447,0
448,0
449,0
450,1
451,1
452,1
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,1
461,0
462,1
463,1
464,1
465,0
466,1
467,0
468,0
469,0
470,0
471,0
472,0
473,1
474,0
475,0
476,0
477,1
478,1
479,1
480,0
481,1
482,1
483,0
484,0
485,1
486,1
487,1
488,0
489,0
490,1
491,0
492,1
493,1
494,0
495,0
496,0
497,1
498,0
499,1
500,0
501,1
502,0
503,1
504,1
505,1
506,0
507,0
508,1
509,0
510,1
511,1
512,0
513,0
514,0
515,1
516,0
